FD Name,Player Data Name,NHL Roster Name
Christopher Higgins,Chris Higgins,Christopher Higgins
T.J. Brodie,TJ Brodie,T.J. Brodie
Matthew Nieto,Matt Nieto,Matthew Nieto
Alexander Ovechkin,Trevor Smith,Trevor Smith
Michael Cammalleri,Mike Cammalleri,Michael Cammalleri
Jacob Muzzin,Jake Muzzin,Jacob Muzzin
Alex Burrows,Alexandre Burrows,Alex Burrows
Nikolai Kulemin,Nikolay Kulemin,Nikolai Kulemin
Dan DeKeyser,Danny DeKeyser,Dan DeKeyser
Chris Tanev,Christopher Tanev,Chris Tanev
Jon Quick,Jonathan Quick,Jon Quick
Tobias Enstrom,Toby Enstrom,Tobias Enstrom
Pierre Parenteau,Pierre-Alexandre Parenteau,Pierre Parenteau
Max Talbot,Maxime Talbot,Max Talbot
Danny Briere,Daniel Briere,Danny Briere
Steve Pinizzotto,Steven Pinizzotto,Steve Pinizzotto
Cameron Talbot,Cam Talbot,Cameron Talbot
Daniel Girardi,Dan Girardi,Daniel Girardi
Mats Zuccarello Aasen,Mats Zuccarello,Mats Zuccarello Aasen
Matt Carle,Matthew Carle,Matt Carle
Mathew Dumba,Matt Dumba,Mathew Dumba
Pat Dwyer,Patrick Dwyer,Pat Dwyer
Calvin de Haan,Calvin de_Haan,Calvin de Haan
Alexander Steen,Alexander Steen,Alex Steen
Nathan MacKinnon,Nathan MacKinnon,Nathan Mackinnon
Christian Thomas,Christian Thomas,Christian Thomas
Zemgus Girgensons,Zemgus Girgensons,Zemgus  Girgensons
T.J. Galiardi,TJ Galiardi,T.J. Galiardi
Jordan Schroeder,Jordan Schroeder,Jordan Schroeder
Stephane Robidas,Stephane Robidas,Stephane Robidas
